relevance,shrink_mode,lambda,ROC AUC,replication
05,hs_global_permutation,1.0,0.5121512190436389,2
05,hs_global_permutation,10.0,0.5195675534594475,2
05,hs_global_permutation,25.0,0.5076639761222219,2
05,hs_global_permutation,50.0,0.5143776769706825,2
05,hs_global_permutation,100.0,0.5204043615266389,2
10,hs,0.0,0.5224354872973311,2
10,hs,0.1,0.5224354872973311,2
10,hs,1.0,0.5224354872973311,2
10,hs,10.0,0.5312351959190346,2
10,hs,25.0,0.5439521842572249,2
10,hs,50.0,0.5620285985029498,2
10,hs,100.0,0.5804419396480576,2
10,hs_entropy,0.0,0.5224354872973311,2
10,hs_entropy,0.1,0.5224354872973311,2
10,hs_entropy,1.0,0.5224354872973311,2
10,hs_entropy,10.0,0.5317461620343489,2
10,hs_entropy,25.0,0.560832550572772,2
10,hs_entropy,50.0,0.5844905645843042,2
10,hs_entropy,100.0,0.5981771549730549,2
10,hs_log_cardinality,0.0,0.5224354872973311,2
10,hs_log_cardinality,0.1,0.5224354872973311,2
10,hs_log_cardinality,1.0,0.5224354872973311,2
10,hs_log_cardinality,10.0,0.5357627492794483,2
10,hs_log_cardinality,25.0,0.5611440325416214,2
10,hs_log_cardinality,50.0,0.5834356215342872,2
10,hs_log_cardinality,100.0,0.5959527533854081,2
10,hs_permutation,0.0,0.5224354872973311,2
10,hs_permutation,0.1,0.5360193237012293,2
10,hs_permutation,1.0,0.5388388635274209,2
10,hs_permutation,10.0,0.5531179748859861,2
10,hs_permutation,25.0,0.5798439709832983,2
10,hs_permutation,50.0,0.592427524229501,2
10,hs_permutation,100.0,0.608332627186716,2
10,hs_global_permutation,0.0,0.5224354872973311,2
10,hs_global_permutation,0.1,0.5374144659072835,2
10,hs_global_permutation,1.0,0.5399566348801088,2
10,hs_global_permutation,10.0,0.5494991323128517,2
10,hs_global_permutation,25.0,0.5779111004784321,2
10,hs_global_permutation,50.0,0.5887701195835583,2
10,hs_global_permutation,100.0,0.5995156996546532,2
15,hs,0.0,0.5627518926900105,2
15,hs,0.1,0.5627518926900105,2
15,hs,1.0,0.5627518926900105,2
15,hs,10.0,0.5722127492409115,2
15,hs,25.0,0.5915067398348042,2
15,hs,50.0,0.6058879917810763,2
15,hs,100.0,0.6322659230913478,2
15,hs_entropy,0.0,0.5627518926900105,2
15,hs_entropy,0.1,0.5627518926900105,2
15,hs_entropy,1.0,0.5627518926900105,2
15,hs_entropy,10.0,0.5868062504967839,2
15,hs_entropy,25.0,0.6148506606583843,2
15,hs_entropy,50.0,0.6556179068190383,2
15,hs_entropy,100.0,0.6557702387958197,2
15,hs_log_cardinality,0.0,0.5627518926900105,2
15,hs_log_cardinality,0.1,0.5627518926900105,2
15,hs_log_cardinality,1.0,0.5627518926900105,2
15,hs_log_cardinality,10.0,0.5885378429303206,2
15,hs_log_cardinality,25.0,0.624954729846326,2
15,hs_log_cardinality,50.0,0.6525997281608029,2
15,hs_log_cardinality,100.0,0.6537083831257167,2
15,hs_permutation,0.0,0.5627518926900105,2
15,hs_permutation,0.1,0.5787725937660714,2
15,hs_permutation,1.0,0.5788536418680185,2
15,hs_permutation,10.0,0.6111832893819691,2
15,hs_permutation,25.0,0.6312860288495348,2
15,hs_permutation,50.0,0.6509371876344253,2
15,hs_permutation,100.0,0.6559064825955282,2
15,hs_global_permutation,0.0,0.5627518926900105,2
15,hs_global_permutation,0.1,0.5771118782135434,2
15,hs_global_permutation,1.0,0.5775984222471854,2
15,hs_global_permutation,10.0,0.6156024464700515,2
15,hs_global_permutation,25.0,0.6295809465163635,2
15,hs_global_permutation,50.0,0.65174278006419,2
15,hs_global_permutation,100.0,0.6552496485807332,2
20,hs,0.0,0.5307578545669522,2
20,hs,0.1,0.5307578545669522,2
20,hs,1.0,0.5307578545669522,2
20,hs,10.0,0.5391057960339505,2
20,hs,25.0,0.5645843323966754,2
20,hs,50.0,0.6042970931518751,2
20,hs,100.0,0.6411597663686575,2
20,hs_entropy,0.0,0.5307578545669522,2
20,hs_entropy,0.1,0.5307578545669522,2
